"No.","Time","Source","Destination","Protocol","Length","Flags","Window","Differentiated Services Field","Version","Info"
"207","2.254961673","3.78.168.176","10.0.0.6","TLSv1.2","114","0x018","27","0x00","TLS 1.2","Application Data"
"208","2.254976724","10.0.0.6","3.78.168.176","TCP","66","0x010","646","0x00","","33232  >  443 [ACK] Seq=6149 Ack=88 Win=646 Len=0 TSval=2132379416 TSecr=1976155029"
"209","2.256457146","142.250.75.142","10.0.0.6","TLSv1.3","1026","0x018","1050","0x80","TLS 1.2,TLS 1.2","Application Data, Application Data"
"210","2.256457243","142.250.75.142","10.0.0.6","TLSv1.3","97","0x018","1050","0x80","TLS 1.2","Application Data"
"211","2.256526370","10.0.0.6","142.250.75.142","TCP","66","0x010","599","0x00","","58082  >  443 [ACK] Seq=3469 Ack=8849 Win=76672 Len=0 TSval=3508699019 TSecr=2102857854"
"212","2.256981489","10.0.0.6","142.250.75.142","TLSv1.3","97","0x018","599","0x00","TLS 1.2","Application Data"
"213","2.258548068","142.250.75.142","10.0.0.6","TCP","66","0x010","1050","0x80","","443  >  58082 [ACK] Seq=8849 Ack=3469 Win=268800 Len=0 TSval=2102857858 TSecr=3508699015"
"214","2.259267441","10.0.0.6","34.149.50.64","UDP","74","","","0x00","","37554  >  443 Len=32"
"215","2.267262360","142.250.75.142","10.0.0.6","TCP","66","0x010","1050","0x80","","443  >  58082 [ACK] Seq=8849 Ack=3500 Win=268800 Len=0 TSval=2102857867 TSecr=3508699019"
"216","2.272704286","199.232.81.44","10.0.0.6","TCP","66","0x010","564","0x00","","443  >  57486 [ACK] Seq=1 Ack=91 Win=564 Len=0 TSval=1635634454 TSecr=201384130"
"217","2.273374118","199.232.81.44","10.0.0.6","TCP","66","0x010","564","0x00","","443  >  57486 [ACK] Seq=1 Ack=130 Win=564 Len=0 TSval=1635634455 TSecr=201384131"
"218","2.273374233","199.232.81.44","10.0.0.6","TLSv1.2","105","0x018","564","0x00","TLS 1.2","Application Data"
"219","2.273398581","10.0.0.6","199.232.81.44","TCP","66","0x010","777","0x00","","57486  >  443 [ACK] Seq=3493 Ack=40 Win=777 Len=0 TSval=201384190 TSecr=1635634455"
"220","2.274057781","199.232.81.44","10.0.0.6","TCP","66","0x010","575","0x00","","443  >  57486 [ACK] Seq=40 Ack=3010 Win=575 Len=0 TSval=1635634456 TSecr=201384131"
"221","2.274808805","199.232.81.44","10.0.0.6","TCP","66","0x010","581","0x00","","443  >  57486 [ACK] Seq=40 Ack=3493 Win=581 Len=0 TSval=1635634456 TSecr=201384131"
"222","2.293363953","69.173.156.139","10.0.0.6","TCP","74","0x012","14600","0x00","","443  >  47936 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1452 WS=4 SACK_PERM TSval=2757366937 TSecr=1398021537"
"223","2.293483545","10.0.0.6","69.173.156.139","TCP","66","0x010","502","0x00","","47936  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1398021608 TSecr=2757366937"
"224","2.294926212","10.0.0.6","69.173.156.139","TLSv1.3","2106","0x018","502","0x00","TLS 1.0","Client Hello (SNI=fastlane.rubiconproject.com)"
"225","2.299915986","HeightsTelec_bb:60:dc","Broadcast","ARP","60","","","","","Who has 10.0.0.28? Tell 10.0.0.138"
"226","2.299916182","52.214.234.187","10.0.0.6","TCP","66","0x010","425","0x00","","443  >  56600 [ACK] Seq=1 Ack=233 Win=425 Len=0 TSval=3655080471 TSecr=3979987705"
"227","2.299916243","52.214.234.187","10.0.0.6","TLSv1.2","112","0x018","425","0x00","TLS 1.2","Application Data"
"228","2.299916281","52.214.234.187","10.0.0.6","TCP","66","0x010","425","0x00","","443  >  56600 [ACK] Seq=47 Ack=2522 Win=425 Len=0 TSval=3655080473 TSecr=3979987705"
"229","2.299916321","52.214.234.187","10.0.0.6","TCP","66","0x010","425","0x00","","443  >  56600 [ACK] Seq=47 Ack=4813 Win=425 Len=0 TSval=3655080473 TSecr=3979987705"
"230","2.301458845","52.214.234.187","10.0.0.6","TLSv1.2","484","0x018","425","0x00","TLS 1.2","Application Data"
"231","2.301458995","52.214.234.187","10.0.0.6","TLSv1.2","104","0x018","425","0x00","TLS 1.2","Application Data"
"232","2.301547476","10.0.0.6","52.214.234.187","TCP","66","0x010","603","0x00","","56600  >  443 [ACK] Seq=4813 Ack=503 Win=603 Len=0 TSval=3979987781 TSecr=3655080472"
"233","2.303552662","10.0.0.6","52.214.234.187","TLSv1.2","108","0x018","603","0x00","TLS 1.2","Application Data"
"234","2.310230281","142.250.75.74","10.0.0.6","QUIC","1288","","","0x80","","Protected Payload (KP0)"
"235","2.310230842","142.250.75.74","10.0.0.6","QUIC","1292","","","0x80","","Protected Payload (KP0)"
"236","2.310230891","142.250.75.74","10.0.0.6","QUIC","1292","","","0x80","","Protected Payload (KP0)"
"237","2.310230939","142.250.75.74","10.0.0.6","QUIC","1292","","","0x80","","Protected Payload (KP0)"
"238","2.310230988","142.250.75.74","10.0.0.6","QUIC","1292","","","0x80","","Protected Payload (KP0)"
"239","2.310231037","142.250.75.74","10.0.0.6","QUIC","1292","","","0x80","","Protected Payload (KP0)"
"240","2.310231085","142.250.75.74","10.0.0.6","QUIC","1292","","","0x80","","Protected Payload (KP0)"
"241","2.310231134","142.250.75.74","10.0.0.6","QUIC","343","","","0x80","","Protected Payload (KP0)"
"242","2.310468352","142.250.75.74","10.0.0.6","QUIC","276","","","0x80","","Protected Payload (KP0)"
"243","2.310957189","10.0.0.6","142.250.75.74","QUIC","79","","","0x00","","Protected Payload (KP0), DCID=eb0c6237ae7da0eb"
"244","2.311656820","10.0.0.6","142.250.75.74","QUIC","75","","","0x00","","Protected Payload (KP0), DCID=eb0c6237ae7da0eb"
"245","2.312031753","52.214.234.187","10.0.0.6","TLSv1.2","2560","0x018","425","0x00","TLS 1.2","Application Data"
"246","2.312032038","52.214.234.187","10.0.0.6","TLSv1.2","104","0x018","425","0x00","TLS 1.2","Application Data"
"247","2.312300870","10.0.0.6","142.250.75.74","QUIC","75","","","0x00","","Protected Payload (KP0), DCID=eb0c6237ae7da0eb"
"248","2.312679199","10.0.0.6","142.250.75.74","QUIC","75","","","0x00","","Protected Payload (KP0), DCID=eb0c6237ae7da0eb"
"249","2.312892104","10.0.0.6","142.250.75.74","QUIC","75","","","0x00","","Protected Payload (KP0), DCID=eb0c6237ae7da0eb"
"250","2.313153219","178.250.7.48","10.0.0.6","TCP","66","0x010","63","0x00","","443  >  53938 [ACK] Seq=1 Ack=1728 Win=64512 Len=0 TSval=607927878 TSecr=720068964"
